,Company,Code,Date
-,Chambal Fert,CHMB.NS,18-Sep-1996
-,Chennai Petro,CHPC.NS,18-Sep-1996
+,EIH,EIHO.NS,18-Sep-1996
+,GSK Pharms,GLAX.NS,18-Sep-1996
-,Hero MotoCorp,HROM.NS,18-Sep-1996
-,Indian Aluminium,IALM.NS^I04 (expired),18-Sep-1996
+,Mahindra,MAHM.NS,18-Sep-1996
+,Nestle India,NEST.NS^I07 (expired),18-Sep-1996
-,NFCL,NGFR.NS,18-Sep-1996
+,ABNL,ABRL.NS^F18 (expired),22-Apr-1996
+,ACC,ACC.NS,22-Apr-1996
+,Ambuja Cements,ABUJ.NS,22-Apr-1996
+,Andhra Valley,ADVA.NS^J05 (expired),22-Apr-1996
+,Apollo Tyres,APLO.NS,22-Apr-1996
+,Arcelormittal In,ESRG.NS^L07 (expired),22-Apr-1996
+,Arvind,ARVN.NS,22-Apr-1996
+,Ashok Leyland,ASOK.NS,22-Apr-1996
+,BHIL,BJAT.NS,22-Apr-1996
+,BROOKE BOND,BROK.NS^J97 (expired),22-Apr-1996
+,Castrol India,CAST.NS,22-Apr-1996
+,Chambal Fert,CHMB.NS,22-Apr-1996
+,Chennai Petro,CHPC.NS,22-Apr-1996
+,Colgate,COLG.NS,22-Apr-1996
+,Dr.Reddys,REDY.NS,22-Apr-1996
+,G E Shipping,GESC.NS,22-Apr-1996
+,Grasim Inds,GRAS.NS,22-Apr-1996
+,HDFC,HDFC.NS,22-Apr-1996
+,HDFC Bank,HDBK.NS,22-Apr-1996
+,Hero MotoCorp,HROM.NS,22-Apr-1996
+,Hind Unilever,HLL.NS,22-Apr-1996
+,Hindalco,HALC.NS,22-Apr-1996
+,ICICI,ICIC.NS^I02 (expired),22-Apr-1996
+,IDBI Bank,IDBI.NS,22-Apr-1996
+,IFCI,IFCI.NS,22-Apr-1996
+,Indian Aluminium,IALM.NS^I04 (expired),22-Apr-1996
+,Indian Hotel,IHTL.NS,22-Apr-1996
+,Indo Gulf Corp,IGLF.NS^D07 (expired),22-Apr-1996
+,IPCL,IPCL.NS^D08 (expired),22-Apr-1996
+,ITC,ITC.NS,22-Apr-1996
+,Kochi Refin,KOCH.NS^D07 (expired),22-Apr-1996
+,L&T,LART.NS,22-Apr-1996
+,MRPL,MRPL.NS,22-Apr-1996
+,NFCL,NGFR.NS,22-Apr-1996
+,Orient Bank Comm,ORBC.NS^C20 (expired),22-Apr-1996
+,Pond's India Ltd,POND.NS^C99 (expired),22-Apr-1996
+,Ranbaxy Lab,RANB.NS^D18 (expired),22-Apr-1996
+,Reliance,RELI.NS,22-Apr-1996
+,Reliance Capital,RLCP.NS,22-Apr-1996
+,Reliance Infrast,RLIN.NS,22-Apr-1996
+,SCICI,SCIC.NS^E97 (expired),22-Apr-1996
+,State Bank India,SBI.NS,22-Apr-1996
+,Tata Chemicals,TTCH.NS,22-Apr-1996
+,Tata Consumer,TACN.NS,22-Apr-1996
+,Tata Motors,TAMO.NS,22-Apr-1996
+,Tata Power,TTPW.NS,22-Apr-1996
+,Tata Steel,TISC.NS,22-Apr-1996
+,Thermax,THMX.NS,22-Apr-1996
+,TVS Motor,TVSS.NS^E00 (expired),22-Apr-1996
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
